CIK,Fund,Manager,Denomination,CIKs,URL,Fund_zh,Manager_zh,Description,Description_zh,Popularity
1823823,Hiddenite,Ryan Packard,Hiddenite Capital Partners LP,,https://www.hiddenitecap.com/,,,,,0
1817652,Himension,Jay Chen,Himension Capital (Singapore) Pte. Ltd.,,https://himension.com/,,,,,0
1619844,Hyperion,Mark Arnold,Hyperion Asset Management Limited,,https://www.hyperion.com.au/,,,,,0
1779789,IEQ,Alan Zafran & Eric Harrison,"IEQ Capital, LLC",,https://ieqcapital.com/,,,,,0
1452861,IMC,Sunny Khiani,"IMC-Chicago, LLC",,https://www.imc.com/,,,,,0
1533954,Institute for Wealth,Matt Medeiros,"Institute for Wealth Management, LLC.",,https://www.instituteforwealth.com/,,,,,0
1834438,JAT,John Thaler,"JAT Capital Management, L.P.",,https://jatcapital.com/,,,,,0
1525234,Jericho,Josh Resnick,Jericho Capital Asset Management L.P.,,https://www.jerichocap.com/,,,,,0
1113000,Kensico,Michael Lowenstein,Kensico Capital Management Corp,,https://www.kensicocapital.com/,,,,,0
1584686,Kentucky Retirement,Joe Gilbert,Kentucky Retirement Systems Insurance Trust Fund,,https://www.kyret.ky.gov/,,,,,0
1926253,Keystone,Ken Tonkinson,Keystone Investors Pte Ltd,,https://keystone-investors.com/,,,,,0
1474069,Keywise,Fang Zheng,Keywise Capital Management (Hk) Ltd,,https://keywisecapital.com/,,,,,0
1911448,Kinetic,Christopher Golden,"Kinetic Partners Management, LP",,https://www.kineticpartners.com/,,,,,0
1399770,Kohlberg,Joseph Bae & Scott Nuttall,Kohlberg Kravis Roberts & Co. L.P.,,https://www.kkr.com/,,,,,0
1713390,Kontiki,Gregard Heje,Kontiki Capital Management (Cayman) Ltd,,https://kontikicap.com/,,,,,0
1599814,Kopernik,David Iben,"Kopernik Global Investors, LLC",,https://www.kopernikglobal.com/,,,,,0
1659815,Kora,Nitin Saigal,Kora Management LP,,https://koracap.com/,,,,,0
1710207,Lattice,Allan Dadgar,"Lattice Capital Management, LLC",,https://www.latticecm.com/,,,,,0
1569049,Light Street,Glen Kacher,"Light Street Capital Management, LLC",,https://www.lightstreet.com/,,,,,0
1732768,Lingotto,Enrico Vellano,Lingotto Investment Management LLP,,https://www.lingotto.com/,,,,,0
1869470,Long Walk,James Zimmerman,"Long Walk Healthcare Management, LP",,https://longwalkmgmt.com/,,,,,0
312348,Loomis,Kevin Charleston,"Loomis, Sayles & Co., L.P.",,https://www.loomissayles.com/,,,,,0
1512173,Maplelane,Leon Shaulov,"Maplelane Capital, LLC",,https://www.maplecapital.com/,,,,,0
860176,Mark Asset,Mark Morris,Mark Asset Management Corp,,https://www.markasset.com/,,,,,0
1731134,Maytech,Nels Wangensteen & Ingrid Yin,"Maytech Global Investments, LLC",,https://www.maytechglobal.com/,,,,,0
1708759,Maytus,Tor Minesuk,"Maytus Capital Management, LLC",,https://maytuscapital.com/,,,,,0
1302842,Merk,Axel Merk,Merk Investments LLC,,https://www.merkinvestments.com/,,,,,0
1864835,Metavasi,Peter Treadway,Metavasi Capital LP,,https://www.metavasi.com/,,,,,0
2015822,MGB,Michael Bailey,"MGB Wealth Management, LLC",,https://www.mgbwealth.com/,,,,,0
1520309,Mizuho,Yoshiro Hamamoto,Mizuho Securities Co. Ltd.,,https://www.mizuhosecurities.co.jp/,,,,,0
1803149,Mizuho Cayman,Gregory Doig,Mizuho Markets Cayman LP,,https://www.mizuhogroup.com/,,,,,0
1281084,Monarch Alternative,Christopher Santana,Monarch Alternative Capital LP,,https://www.monarchlp.com/,,,,,0
1016150,Morgens Waterfall,Edwin Morgens,Morgens Waterfall Vintiadis & Co Inc,,https://morgenswaterfall.com/,,,,,0
2011874,Napean,Azim Premji Hasham,Napean Trading & Investment Co (Singapore) PTE Ltd,,,,,,,0
1845012,NewGen,David Dattels,NewGen Asset Management Limited,,https://newgenfunds.com/,,,,,0
1908450,Newlands,Jan Koum,Newlands Management Operations LLC,,https://www.thenewlands.com/,,,,,0
1055964,Nomura,Shoichi Ohkoshi,Nomura Asset Management Co Ltd,,https://global.nomura-am.co.jp/,,,,,0
1745796,North Growth,Erica Lau,North Growth Management Ltd.,,https://www.northgrowth.com/,,,,,0
1103887,Nwi,Hari Hariharan,Nwi Management LP,,,,,,,0
1780565,O'Keefe,Peter O'Keefe,"O'Keefe Stevens Advisory, Inc.",,https://okeefestevens.com/,,,,,0
1861159,O'Neil,Steven Birch,"O'Neil Global Advisors, Inc.",,https://www.oneilglobaladvisors.com/,,,,,0
1661762,Oak Grove,Mark Visnic,Oak Grove Capital LLC,,http://oakgrovecapital.net/,,,,,0
1764525,OCO,Samuel Francis Martini,"OCO Capital Partners, L.P.",,,,,,,0
1891904,Octahedron,Ram Parameswaran,"Octahedron Capital Management, LP",,https://octahedroncapital.com/,,,,,0
1619083,Ogborne,Mike Ogborne,"Ogborne Capital Management, LLC",,https://www.ogbornecap.com/,,,,,0
1712892,Once,Emanuele Perazzi,"Once Capital Management, LLC",,https://www.oncecapital.com/,,,,,0
2032200,Orion Resource,Oskar Lewnowski,Orion Resource Partners (USA) LP,1714217.0,https://www.orionrp.com/,,,,,0
1713269,Oxbow,Wesley Wong,Oxbow Capital Management (HK) Ltd,,https://www.oxbcap.com/,,,,,0
2035224,Panview,Ryan Thall,Panview Capital Ltd,,,,,,,0
1911136,Paradigm,Matt Huang,Paradigm Operations LP,,https://www.paradigm.xyz/,,,,,0
2056764,Parvin,Steve Smith,"Parvin Asset Management, LLC",,https://parvinam.com/,,,,,0
1050464,Peconic,William Harnisch,Peconic Partners LLC,,https://www.peconicpartners.com/,,,,,0
2011563,Pennant Select,Brent Guerisoli,"Pennant Select, LLC",,,,,,,0
2011811,Pinegrove,Brian Laibow,Pinegrove Capital Partners LLC,,https://pinegrove.vc/,,,,,0
1804352,Ping,Ping Jiang,"Ping Capital Management, Inc.",,https://pingfinancial.com/,,,,,0
